nominal
 CH3COOOH  C4H9O     C3H7O     CH3ONO2   NO3       CH3COOO   C2H5OO    
 C2H4OOH   HONO2     C2H5OOH   CH3ONO    C3H8CO    CH3NO2    1C4H9     
 2C4H9     C4H10     C3H7OH    CH3OO     C4H8Y     CH3OOH    HNO2      
 CH3OCO    C2H5CHO   C2H6CO    C2H5O     CH3NO     2C2H4OH   NO2       
 2C3H7     1C3H7     1C2H4OH   HONO      C3H8      HCNN      cC2H4O    
 HCNO      C2H5OH    N2O       C2H3CHOZ  OOH       CH2CHO    H2O2      
 CH3CO     NCO       CH3O      O2        CH3CHO    HNO       C         
 CHCO      CO2H      HOCN      C2H5      C2H       CH2OH     CH        
 C2H6      C2H3      CH2CO     NNH       H2CN      CH3OH     N4S       
 N2D       CN        1CH2      HNCO      NO        O3P       O1D       
 C2H4      NH        3CH2      HCO       C2H2      H2CO      NH2       
 CO2       OH        CH3       HCN       NH3       CH4       N2        
 CO        H2O       H         He        H2        N2O4      N2O3      
 N2H2      N2H3      N2H4      HNNO      HNOH      HNO3      NH2OH     
 H2NO      CNN       H2CNO     C2N2      HCNH      HNC       HON       
 NCN       
  
 Vitesses de reaction nominales a zmax
 CH3        NO                                          HCN        H2O                                          0.126E-12  0.268E+01   837
 HCN        H2O                                         CH3        NO                                           0.984E-20  0.268E+01  1794
 CH3        NO                                          H2CN       OH                                           0.414E-13  0.268E+01   838
 H2CN       OH                                          CH3        NO                                           0.328E-12  0.268E+01  1795
 CHCO       NO                                          HCNO       CO                                           0.661E-10  0.268E+01   839
 HCNO       CO                                          CHCO       NO                                           0.114E-12  0.268E+01  1796
 CHCO       NO                                          HCN        CO2                                          0.198E-10  0.268E+01   840
 HCN        CO2                                         CHCO       NO                                           0.985E-20  0.268E+01  1797
 1CH2       NO                                          HCN        OH                                           0.166E-09  0.268E+01   841
 HCN        OH                                          1CH2       NO                                           0.855E-17  0.268E+01  1798
 HCNO       H                                           HCN        OH                                           0.118E-10  0.268E+01   842
 HCN        OH                                          HCNO       H                                            0.386E-17  0.268E+01  1799
 HCNO       H                                           HNCO       H                                            0.897E-11  0.268E+01   843
 HNCO       H                                           HCNO       H                                            0.265E-17  0.268E+01  1800
 HCNO       H                                           HOCN       H                                            0.310E-13  0.268E+01   844
 HOCN       H                                           HCNO       H                                            0.791E-18  0.268E+01  1801
 HCNO       H                                           NH2        CO                                           0.452E-12  0.268E+01   845
 NH2        CO                                          HCNO       H                                            0.935E-21  0.268E+01  1802
 HCNO       O3P                                         HCO        NO                                           0.116E-09  0.268E+01   846
 HCO        NO                                          HCNO       O3P                                          0.549E-18  0.268E+01  1803
 3CH2       N4S                                         HCN        H                                            0.831E-10  0.268E+01   847
 HCN        H                                           3CH2       N4S                                          0.535E-20  0.268E+01  1804
 3CH2       N4S                                         NH         CH                                           0.237E-13  0.268E+01   848
 NH         CH                                          3CH2       N4S                                          0.421E-12  0.268E+01  1805
 CH         N4S                                         CN         H                                            0.138E-09  0.268E+01   849
 CN         H                                           CH         N4S                                          0.438E-18  0.268E+01  1806
 CH         N4S                                         C          NH                                           0.671E-10  0.268E+01   850
 C          NH                                          CH         N4S                                          0.728E-10  0.268E+01  1807
 N4S        CO2                                         NO         CO                                           0.149E-12  0.268E+01   851
 NO         CO                                          N4S        CO2                                          0.119E-16  0.268E+01  1808
 N4S        CHCO                                        HCN        CO                                           0.831E-10  0.268E+01   852
 HCN        CO                                          N4S        CHCO                                         0.329E-23  0.268E+01  1809
 CH3        N4S                                         H2CN       H                                            0.118E-09  0.268E+01   853
 H2CN       H                                           CH3        N4S                                          0.656E-13  0.268E+01  1810
 CH3        N4S                                         HCNH       H                                            0.102E-10  0.268E+01   854
 HCNH       H                                           CH3        N4S                                          0.821E-14  0.268E+01  1811
 HCNH       H                                           H2CN       H                                            0.332E-10  0.268E+01   855
 H2CN       H                                           HCNH       H                                            0.231E-10  0.268E+01  1812
 HCNH       H                                           HCN        H2                                           0.529E-10  0.268E+01   856
 HCN        H2                                          HCNH       H                                            0.226E-17  0.268E+01  1813
 HCNH       O3P                                         HNCO       H                                            0.116E-09  0.268E+01   857
 HNCO       H                                           HCNH       O3P                                          0.301E-17  0.268E+01  1814
 HCNH       O3P                                         HCN        OH                                           0.375E-10  0.268E+01   858
 HCN        OH                                          HCNH       O3P                                          0.107E-17  0.268E+01  1815
 HCNH       OH                                          HCN        H2O                                          0.135E-10  0.268E+01   859
 HCN        H2O                                         HCNH       OH                                           0.925E-19  0.268E+01  1816
 HCNH       CH3                                         HCN        CH4                                          0.332E-11  0.268E+01   860
 HCN        CH4                                         HCNH       CH3                                          0.343E-17  0.268E+01  1817
 C2H3       N4S                                         HCN        3CH2                                         0.332E-10  0.268E+01   861
 HCN        3CH2                                        C2H3       N4S                                          0.216E-16  0.268E+01  1818
 CN         H2O                                         HCN        OH                                           0.130E-11  0.268E+01   862
 HCN        OH                                          CN         H2O                                          0.440E-12  0.268E+01  1819
 CN         H2O                                         HOCN       H                                            0.130E-11  0.268E+01   863
 HOCN       H                                           CN         H2O                                          0.344E-10  0.268E+01  1820
 OH         HCN                                         HOCN       H                                            0.622E-12  0.268E+01   864
 HOCN       H                                           OH         HCN                                          0.486E-10  0.268E+01  1821
 OH         HCN                                         HNCO       H                                            0.682E-13  0.268E+01   865
 HNCO       H                                           OH         HCN                                          0.616E-13  0.268E+01  1822
 OH         HCN                                         NH2        CO                                           0.813E-14  0.268E+01   866
 NH2        CO                                          OH         HCN                                          0.514E-16  0.268E+01  1823
 HOCN       H                                           HNCO       H                                            0.166E-10  0.268E+01   867
 HNCO       H                                           HOCN       H                                            0.192E-12  0.268E+01  1824
 HCN        O3P                                         NCO        H                                            0.562E-11  0.268E+01   868
 NCO        H                                           HCN        O3P                                          0.139E-10  0.268E+01  1825
 HCN        O3P                                         NH         CO                                           0.141E-11  0.268E+01   869
 NH         CO                                          HCN        O3P                                          0.262E-15  0.268E+01  1826
 HCN        O3P                                         CN         OH                                           0.259E-11  0.268E+01   870
 CN         OH                                          HCN        O3P                                          0.320E-10  0.268E+01  1827
 CN         H2                                          HCN        H                                            0.102E-09  0.268E+01   871
 HCN        H                                           CN         H2                                           0.551E-11  0.268E+01  1828
 CN         O3P                                         CO         N4S                                          0.944E-10  0.268E+01   872
 CO         N4S                                         CN         O3P                                          0.201E-16  0.268E+01  1829
 CN         O2                                          NCO        O3P                                          0.131E-10  0.268E+01   873
 NCO        O3P                                         CN         O2                                           0.686E-11  0.268E+01  1830
 CN         OH                                          NCO        H                                            0.665E-10  0.268E+01   874
 NCO        H                                           CN         OH                                           0.133E-10  0.268E+01  1831
 CN         HCN                                         C2N2       H                                            0.990E-11  0.268E+01   875
 C2N2       H                                           CN         HCN                                          0.504E-10  0.268E+01  1832
 CN         NO2                                         NCO        NO                                           0.244E-10  0.268E+01   876
 NCO        NO                                          CN         NO2                                          0.131E-15  0.268E+01  1833
 CN         N2O                                         NCO        N2                                           0.338E-12  0.268E+01   877
 NCO        N2                                          CN         N2O                                          0.174E-20  0.268E+01  1834
 C2N2       O3P                                         NCO        CN                                           0.107E-11  0.268E+01   878
 NCO        CN                                          C2N2       O3P                                          0.522E-12  0.268E+01  1835
 C2N2       OH                                          HNCO       CN                                           0.163E-12  0.268E+01   879
 HNCO       CN                                          C2N2       OH                                           0.290E-13  0.268E+01  1836
 C2N2       OH                                          HOCN       CN                                           0.505E-13  0.268E+01   880
 HOCN       CN                                          C2N2       OH                                           0.776E-12  0.268E+01  1837
 HNCO       H                                           H2         NCO                                          0.242E-11  0.268E+01   881
 H2         NCO                                         HNCO       H                                            0.987E-11  0.268E+01  1838
 HNCO       H                                           NH2        CO                                           0.823E-11  0.268E+01   882
 NH2        CO                                          HNCO       H                                            0.576E-13  0.268E+01  1839
 HNCO       O3P                                         NCO        OH                                           0.359E-11  0.268E+01   883
 NCO        OH                                          HNCO       O3P                                          0.983E-11  0.268E+01  1840
 HNCO       O3P                                         NH         CO2                                          0.135E-11  0.268E+01   884
 NH         CO2                                         HNCO       O3P                                          0.245E-15  0.268E+01  1841
 HNCO       O3P                                         HNO        CO                                           0.287E-14  0.268E+01   885
 HNO        CO                                          HNCO       O3P                                          0.234E-18  0.268E+01  1842
 HNCO       OH                                          NCO        H2O                                          0.283E-11  0.268E+01   886
 NCO        H2O                                         HNCO       OH                                           0.185E-11  0.268E+01  1843
 HNCO       OH                                          NH2        CO2                                          0.506E-14  0.268E+01   887
 NH2        CO2                                         HNCO       OH                                           0.312E-16  0.268E+01  1844
 HNCO       OOH                                         NCO        H2O2                                         0.838E-15  0.268E+01   888
 NCO        H2O2                                        HNCO       OOH                                          0.344E-12  0.268E+01  1845
 HNCO       O2                                          HNO        CO2                                          0.744E-15  0.268E+01   889
 HNO        CO2                                         HNCO       O2                                           0.140E-18  0.268E+01  1846
 HNCO       NH2                                         NCO        NH3                                          0.212E-11  0.268E+01   890
 NCO        NH3                                         HNCO       NH2                                          0.273E-10  0.268E+01  1847
 HNCO       NH                                          NCO        NH2                                          0.295E-12  0.268E+01   891
 NCO        NH2                                         HNCO       NH                                           0.274E-10  0.268E+01  1848
 NCO        H                                           NH         CO                                           0.890E-10  0.268E+01   892
 NH         CO                                          NCO        H                                            0.670E-14  0.268E+01  1849
 NCO        O3P                                         NO         CO                                           0.698E-10  0.268E+01   893
 NO         CO                                          NCO        O3P                                          0.520E-20  0.268E+01  1850
 NCO        O3P                                         N4S        CO2                                          0.766E-11  0.268E+01   894
 N4S        CO2                                         NCO        O3P                                          0.718E-17  0.268E+01  1851
 NCO        N4S                                         N2         CO                                           0.332E-10  0.268E+01   895
 N2         CO                                          NCO        N4S                                          0.699E-27  0.268E+01  1852
 NCO        OH                                          NO         HCO                                          0.305E-12  0.268E+01   896
 NO         HCO                                         NCO        OH                                           0.178E-14  0.268E+01  1853
 NCO        NO                                          N2O        CO                                           0.111E-11  0.268E+01   897
 N2O        CO                                          NCO        NO                                           0.129E-16  0.268E+01  1854
 NCO        NO                                          N2         CO2                                          0.139E-11  0.268E+01   898
 N2         CO2                                         NCO        NO                                           0.369E-24  0.268E+01  1855
 NCO        O2                                          NO         CO2                                          0.405E-13  0.268E+01   899
 NO         CO2                                         NCO        O2                                           0.697E-23  0.268E+01  1856
 NCO        HCO                                         HNCO       CO                                           0.598E-10  0.268E+01   900
 HNCO       CO                                          NCO        HCO                                          0.279E-18  0.268E+01  1857
 NCO        NO2                                         CO         NO         NO                                0.342E-12  0.268E+01   901
 CO         NO         NO                               NCO        NO2                                          0.410E-41  0.268E+01  1858
 NCO        NO2                                         CO2        N2O                                          0.431E-11  0.268E+01   902
 CO2        N2O                                         NCO        NO2                                          0.119E-20  0.268E+01  1859
 NCO        HNO                                         HNCO       NO                                           0.299E-10  0.268E+01   903
 HNCO       NO                                          NCO        HNO                                          0.273E-16  0.268E+01  1860
 NCO        NCO                                         CO         CO         N2                                0.498E-11  0.268E+01   904
 CO         CO         N2                               NCO        NCO                                          0.672E-48  0.268E+01  1861
 NO         HCO                                         CO         HNO                                          0.546E-11  0.268E+01   905
 CO         HNO                                         NO         HCO                                          0.278E-13  0.268E+01  1862
 NO2        CO                                          CO2        NO                                           0.875E-13  0.268E+01   906
 CO2        NO                                          NO2        CO                                           0.206E-17  0.268E+01  1863
 NO2        HCO                                         H          CO2        NO                                0.276E-10  0.268E+01   907
 H          CO2        NO                               NO2        HCO                                          0.499E-37  0.268E+01  1864
 CH3O       NO2                                         HONO       H2CO                                         0.498E-11  0.268E+01   908
 HONO       H2CO                                        CH3O       NO2                                          0.598E-17  0.268E+01  1865
 CH3O       NO                                          H2CO       HNO                                          0.962E-12  0.268E+01   909
 H2CO       HNO                                         CH3O       NO                                           0.974E-15  0.268E+01  1866
 NO2        H2CO                                        HONO       HCO                                          0.597E-15  0.268E+01   910
 HONO       HCO                                         NO2        H2CO                                         0.477E-15  0.268E+01  1867
 NO         H2CO                                        HNO        HCO                                          0.207E-14  0.268E+01   911
 HNO        HCO                                         NO         H2CO                                         0.139E-11  0.268E+01  1868
 NO2        HCO                                         HONO       CO                                           0.166E-10  0.268E+01   912
 HONO       CO                                          NO2        HCO                                          0.100E-15  0.268E+01  1869
 NO2        HCO                                         OH         NO         CO                                0.166E-09  0.268E+01   913
 OH         NO         CO                               NO2        HCO                                          0.341E-36  0.268E+01  1870
 NCO        N4S                                         NO         CN                                           0.462E-10  0.268E+01   914
 NO         CN                                          NCO        N4S                                          0.162E-13  0.268E+01  1871
 CN         CH4                                         HCN        CH3                                          0.117E-09  0.268E+01   915
 HCN        CH3                                         CN         CH4                                          0.263E-12  0.268E+01  1872
 C          NO                                          CO         N4S                                          0.465E-10  0.268E+01   916
 CO         N4S                                         C          NO                                           0.292E-19  0.268E+01  1873
 NH         CO2                                         HNO        CO                                           0.704E-12  0.268E+01   917
 HNO        CO                                          NH         CO2                                          0.316E-12  0.268E+01  1874
 NCO        CH4                                         HNCO       CH3                                          0.277E-11  0.268E+01   918
 HNCO       CH3                                         NCO        CH4                                          0.280E-13  0.268E+01  1875
 C          N2O                                         CN         NO                                           0.797E-11  0.268E+01   919
 CN         NO                                          C          N2O                                          0.150E-18  0.268E+01  1876
 CH         NH2                                         HCN        H          H                                 0.498E-10  0.268E+01   920
 HCN        H          H                                CH         NH2                                          0.320E-37  0.268E+01  1877
 CH         NH                                          HCN        H                                            0.831E-10  0.268E+01   921
 HCN        H                                           CH         NH                                           0.301E-21  0.268E+01  1878
 3CH2       NH                                          HCN        H          H                                 0.498E-10  0.268E+01   922
 HCN        H          H                                3CH2       NH                                           0.273E-36  0.268E+01  1879
 CH3        N4S                                         HCN        H          H                                 0.332E-12  0.268E+01   923
 HCN        H          H                                CH3        N4S                                          0.458E-37  0.268E+01  1880
 CH3        N4S                                         HCN        H2                                           0.118E-10  0.268E+01   924
 HCN        H2                                          CH3        N4S                                          0.403E-21  0.268E+01  1881
 CH4        N4S                                         NH         CH3                                          0.839E-13  0.268E+01   925
 NH         CH3                                         CH4        N4S                                          0.164E-12  0.268E+01  1882
 CH         N2O                                         HCN        NO                                           0.249E-10  0.268E+01   926
 HCN        NO                                          CH         N2O                                          0.582E-21  0.268E+01  1883
 CH         N2O                                         CO         H          N2                                0.966E-11  0.268E+01   927
 CO         H          N2                               CH         N2O                                          0.101E-47  0.268E+01  1884
 CH3NO2     OH                                          H2CO       NO         H2O                               0.167E-10  0.268E+01   928
 H2CO       NO         H2O                              CH3NO2     OH                                           0.339E-41  0.268E+01  1885
 CH3NO2     O3P                                         H2CO       NO         OH                                0.771E-11  0.268E+01   929
 H2CO       NO         OH                               CH3NO2     O3P                                          0.653E-41  0.268E+01  1886
 CH3NO2     H                                           H2CO       NO         H2                                0.341E-11  0.268E+01   930
 H2CO       NO         H2                               CH3NO2     H                                            0.432E-41  0.268E+01  1887
 CH3NO2     CH3                                         H2CO       NO         CH4                               0.101E-12  0.268E+01   931
 H2CO       NO         CH4                              CH3NO2     CH3                                          0.310E-41  0.268E+01  1888
 HNO2       H                                           NO2        H2                                           0.142E-10  0.268E+01   932
 NO2        H2                                          HNO2       H                                            0.193E-14  0.268E+01  1889
 HNO2       O3P                                         NO2        OH                                           0.158E-10  0.268E+01   933
 NO2        OH                                          HNO2       O3P                                          0.144E-14  0.268E+01  1890
 HNO2       OH                                          NO2        H2O                                          0.118E-10  0.268E+01   934
 NO2        H2O                                         HNO2       OH                                           0.258E-15  0.268E+01  1891
 HNO2       CH3                                         NO2        CH4                                          0.884E-12  0.268E+01   935
 NO2        CH4                                         HNO2       CH3                                          0.291E-14  0.268E+01  1892
 HONO2      OH                                          NO3        H2O                                          0.225E-13  0.268E+01   936
 NO3        H2O                                         HONO2      OH                                           0.832E-15  0.268E+01  1893
 CH3OO      NO                                          CH3O       NO2                                          0.455E-11  0.268E+01   937
 CH3O       NO2                                         CH3OO      NO                                           0.237E-11  0.268E+01  1894
 C2H5OO     NO                                          C2H5O      NO2                                          0.455E-11  0.268E+01   938
 C2H5O      NO2                                         C2H5OO     NO                                           0.796E-12  0.268E+01  1895
 C2H5O      NO                                          CH3CHO     HNO                                          0.642E-12  0.268E+01   939
 CH3CHO     HNO                                         C2H5O      NO                                           0.305E-15  0.268E+01  1896
 C2H5       NO2                                         C2H5O      NO                                           0.226E-10  0.268E+01   940
 C2H5O      NO                                          C2H5       NO2                                          0.715E-12  0.268E+01  1897
 CH2CHO     NO2                                         H2CO       HCO        NO                                0.166E-10  0.268E+01   941
 H2CO       HCO        NO                               CH2CHO     NO2                                          0.147E-37  0.268E+01  1898
 C2H5O      NO2                                         CH3CHO     HONO                                         0.438E-11  0.268E+01   942
 CH3CHO     HONO                                        C2H5O      NO2                                          0.247E-17  0.268E+01  1899
 HNO        NO2                                         HNO2       NO                                           0.322E-12  0.268E+01   943
 HNO2       NO                                          HNO        NO2                                          0.885E-14  0.268E+01  1900
 1C3H7      NO2                                         NO         C3H7O                                        0.196E-12  0.268E+01   944
 NO         C3H7O                                       1C3H7      NO2                                          0.628E-09  0.268E+01  1901
 1C4H9      NO2                                         NO         C4H9O                                        0.106E-12  0.268E+01   945
 NO         C4H9O                                       1C4H9      NO2                                          0.567E-09  0.268E+01  1902
 C2H6       NO2                                         C2H5       HONO                                         0.386E-13  0.268E+01   946
 C2H5       HONO                                        C2H6       NO2                                          0.811E-13  0.268E+01  1903
 C3H8       NO2                                         1C3H7      HONO                                         0.386E-13  0.268E+01   947
 1C3H7      HONO                                        C3H8       NO2                                          0.127E-12  0.268E+01  1904
 C3H8       NO2                                         2C3H7      HONO                                         0.197E-13  0.268E+01   948
 2C3H7      HONO                                        C3H8       NO2                                          0.984E-13  0.268E+01  1905
 C4H10      NO2                                         1C4H9      HONO                                         0.197E-13  0.268E+01   949
 1C4H9      HONO                                        C4H10      NO2                                          0.338E-13  0.268E+01  1906
 C4H10      NO2                                         2C4H9      HONO                                         0.386E-13  0.268E+01   950
 2C4H9      HONO                                        C4H10      NO2                                          0.626E-13  0.268E+01  1907
 C2H5       HNO                                         NO         C2H6                                         0.807E-10  0.268E+01   951
 NO         C2H6                                        C2H5       HNO                                          0.456E-13  0.268E+01  1908
 1C3H7      HNO                                         NO         C3H8                                         0.807E-10  0.268E+01   952
 NO         C3H8                                        1C3H7      HNO                                          0.291E-13  0.268E+01  1909
 2C3H7      HNO                                         NO         C3H8                                         0.807E-10  0.268E+01   953
 NO         C3H8                                        2C3H7      HNO                                          0.192E-13  0.268E+01  1910
 1C4H9      HNO                                         NO         C4H10                                        0.807E-10  0.268E+01   954
 NO         C4H10                                       1C4H9      HNO                                          0.559E-13  0.268E+01  1911
 2C4H9      HNO                                         NO         C4H10                                        0.807E-10  0.268E+01   955
 NO         C4H10                                       2C4H9      HNO                                          0.590E-13  0.268E+01  1912
 HCN        N2                                          H          CN         N2                                0.125E-17  0.268E+01   956
 H          CN         N2                               HCN        N2                                           0.930E-31  0.268E+01  1913
 HCN        O2                                          CN         OOH                                          0.325E-17  0.268E+01   957
 CN         OOH                                         HCN        O2                                           0.333E-11  0.268E+01  1914
 CN         O2                                          NO         CO                                           0.893E-13  0.268E+01   958
 NO         CO                                          CN         O2                                           0.350E-23  0.268E+01  1915
 CN         H2CO                                        HCN        HCO                                          0.698E-10  0.268E+01   959
 HCN        HCO                                         CN         H2CO                                         0.952E-14  0.268E+01  1916
 CN         HNO                                         HCN        NO                                           0.299E-10  0.268E+01   960
 HCN        NO                                          CN         HNO                                          0.606E-17  0.268E+01  1917
 CN         HONO                                        HCN        NO2                                          0.199E-10  0.268E+01   961
 HCN        NO2                                         CN         HONO                                         0.341E-14  0.268E+01  1918
 CN         N2O                                         NCN        NO                                           0.151E-11  0.268E+01   962
 NCN        NO                                          CN         N2O                                          0.316E-12  0.268E+01  1919
 CN         NCO                                         NCN        CO                                           0.299E-10  0.268E+01   963
 NCN        CO                                          CN         NCO                                          0.731E-16  0.268E+01  1920
 HCNO       OH                                          H2CO       NO                                           0.166E-11  0.268E+01   964
 H2CO       NO                                          HCNO       OH                                           0.466E-17  0.268E+01  1921
 HCNO       O3P                                         NCO        OH                                           0.116E-10  0.268E+01   965
 NCO        OH                                          HCNO       O3P                                          0.940E-17  0.268E+01  1922
 HCNO       OH                                          NO         CO         H2                                0.108E-10  0.268E+01   966
 NO         CO         H2                               HCNO       OH                                           0.585E-41  0.268E+01  1923
 HCNO       OH                                          NCO        H          OH                                0.748E-11  0.268E+01   967
 NCO        H          OH                               HCNO       OH                                           0.364E-31  0.268E+01  1924
 HCNO       OH                                          NCO        H2O                                          0.581E-11  0.268E+01   968
 NCO        H2O                                         HCNO       OH                                           0.113E-17  0.268E+01  1925
 HCNO       OH                                          HCO        HNO                                          0.748E-11  0.268E+01   969
 HCO        HNO                                         HCNO       OH                                           0.141E-13  0.268E+01  1926
 NH         NH                                          N2         H          H                                 0.415E-10  0.268E+01   970
 N2         H          H                                NH         NH                                           0.989E-39  0.268E+01  1927
 HNOH       O3P                                         HNO        OH                                           0.116E-09  0.268E+01   971
 HNO        OH                                          HNOH       O3P                                          0.149E-14  0.268E+01  1928
 HNOH       O3P                                         HNO        OH                                           0.647E-10  0.268E+01   972
 HNO        OH                                          HNOH       O3P                                          0.829E-15  0.268E+01  1929
 CN         N2O                                         CNN        NO                                           0.232E-11  0.268E+01   973
 CNN        NO                                          CN         N2O                                          0.708E-09  0.268E+01  1930
 CN         N2O                                         CNN        NO                                           0.217E-13  0.268E+01   974
 CNN        NO                                          CN         N2O                                          0.663E-11  0.268E+01  1931
 N2D        H2                                          NH         H                                            0.286E-10  0.174E+01   975
 NH         H                                           N2D        H2                                           0.188E-09  0.174E+01  1932
 N2D        CH4                                         NH         CH3                                          0.691E-11  0.201E+01   976
 NH         CH3                                         N2D        CH4                                          0.188E-11  0.201E+01  1933
 N2D        C2H6                                        NH         C2H5                                         0.190E-10  0.201E+01   977
 NH         C2H5                                        N2D        C2H6                                         0.828E-12  0.201E+01  1934
 N2D        H2O                                         NH         OH                                           0.133E-10  0.268E+01   978
 NH         OH                                          N2D        H2O                                          0.546E-09  0.268E+01  1935
 N2D        H2O                                         H          HNO                                          0.133E-10  0.268E+01   979
 H          HNO                                         N2D        H2O                                          0.216E-09  0.268E+01  1936
 N2D        H2O                                         H2         NO                                           0.133E-10  0.268E+01   980
 H2         NO                                          N2D        H2O                                          0.807E-15  0.268E+01  1937
 N2D        CO2                                         NO         CO                                           0.360E-12  0.201E+01   981
 NO         CO                                          N2D        CO2                                          0.398E-17  0.201E+01  1938
 N2D        NH3                                         NH         NH2                                          0.500E-10  0.268E+01   982
 NH         NH2                                         N2D        NH3                                          0.105E-09  0.268E+01  1939
 N2D                                                    N4S                                                     0.163E-04  0.268E+01   983
 N4S                                                    N2D                                                     0.227E-05  0.268E+01  1940
 O1D        H2                                          OH         H                                            0.120E-09  0.133E+01   984
 OH         H                                           O1D        H2                                           0.214E-14  0.133E+01  1941
 O1D        CH4                                         OH         CH3                                          0.131E-09  0.124E+01   985
 OH         CH3                                         O1D        CH4                                          0.966E-16  0.124E+01  1942
 O1D        CH4                                         CH2OH      H                                            0.175E-10  0.124E+01   986
 CH2OH      H                                           O1D        CH4                                          0.228E-15  0.124E+01  1943
 O1D        CH4                                         CH3O       H                                            0.175E-10  0.124E+01   987
 CH3O       H                                           O1D        CH4                                          0.143E-13  0.124E+01  1944
 O1D        CH4                                         H2CO       H2                                           0.900E-11  0.124E+01   988
 H2CO       H2                                          O1D        CH4                                          0.278E-22  0.124E+01  1945
 O1D        H2O                                         OH         OH                                           0.167E-09  0.114E+01   989
 OH         OH                                          O1D        H2O                                          0.186E-13  0.114E+01  1946
 O1D        NH3                                         NH2        OH                                           0.250E-09  0.129E+01   990
 NH2        OH                                          O1D        NH3                                          0.142E-14  0.129E+01  1947
 O1D                                                    O3P                                                     0.667E-02  0.268E+01   991
 O3P                                                    O1D                                                     0.178E-06  0.268E+01  1948
 nb reac fichier :          11         850
 O2         H                                           OOH                                                     0.618E-13  0.268E+01   992
 OOH                                                    O2         H                                            0.850E+06  0.268E+01  1949
 NO         O3P                                         NO2                                                     0.143E-18  0.268E+01   993
 NO2                                                    NO         O3P                                          0.891E+00  0.268E+01  1950
 NO2        O3P                                         NO3                                                     0.366E-19  0.268E+01   994
 NO3                                                    NO2        O3P                                          0.112E+03  0.268E+01  1951
 NO         OH                                          HONO                                                    0.270E-18  0.268E+01   995
 HONO                                                   NO         OH                                           0.795E+03  0.268E+01  1952
 NO2        OH                                          HNO3                                                    0.177E-19  0.268E+01   996
 HNO3                                                   NO2        OH                                           0.160E+03  0.268E+01  1953
 CH4                                                    CH3        H                                            0.227E+04  0.268E+01   997
 CH3        H                                           CH4                                                     0.377E-12  0.268E+01  1954
