nominal
 CH3COOOH  C4H9O     C3H7O     CH3ONO2   NO3       CH3COOO   C2H5OO    
 C2H4OOH   HONO2     C2H5OOH   CH3ONO    C3H8CO    CH3NO2    1C4H9     
 2C4H9     C4H10     C3H7OH    CH3OO     C4H8Y     CH3OOH    HNO2      
 CH3OCO    C2H5CHO   C2H6CO    C2H5O     CH3NO     2C2H4OH   NO2       
 2C3H7     1C3H7     1C2H4OH   HONO      C3H8      HCNN      cC2H4O    
 HCNO      C2H5OH    N2O       C2H3CHOZ  OOH       CH2CHO    H2O2      
 CH3CO     NCO       CH3O      O2        CH3CHO    HNO       C         
 CHCO      CO2H      HOCN      C2H5      C2H       CH2OH     CH        
 C2H6      C2H3      CH2CO     NNH       H2CN      CH3OH     N4S       
 N2D       CN        1CH2      HNCO      NO        O3P       O1D       
 C2H4      NH        3CH2      HCO       C2H2      H2CO      NH2       
 CO2       OH        CH3       HCN       NH3       CH4       N2        
 CO        H2O       H         He        H2        N2O4      N2O3      
 N2H2      N2H3      N2H4      HNNO      HNOH      HNO3      NH2OH     
 H2NO      CNN       H2CNO     C2N2      HCNH      HNC       HON       
 NCN       
  
 Vitesses de reaction nominales a zmax
 C2H5                                                   C2H4       H                                            0.616E+10  0.268E+01   132
 C2H4       H                                           C2H5                                                    0.514E-10  0.268E+01  1089
 CO2H                                                   CO         OH                                           0.128E+12  0.268E+01   133
 CO         OH                                          CO2H                                                    0.355E-11  0.268E+01  1090
 CO2H                                                   CO2        H                                            0.105E+11  0.268E+01   134
 CO2        H                                           CO2H                                                    0.256E-12  0.268E+01  1091
 N2O                                                    N2         O3P                                          0.111E+07  0.268E+01   135
 N2         O3P                                         N2O                                                     0.173E-15  0.268E+01  1092
 N2O4                                                   NO2        NO2                                          0.105E+13  0.268E+01   136
 NO2        NO2                                         N2O4                                                    0.226E-13  0.268E+01  1093
 N2H4                                                   NH2        NH2                                          0.565E+09  0.268E+01   137
 NH2        NH2                                         N2H4                                                    0.112E-10  0.268E+01  1094
 nb reac fichier :           9           7
 1CH2                                                   3CH2                                                    0.727E+11  0.268E+01   138
 3CH2                                                   1CH2                                                    0.408E+10  0.268E+01  1095
 H2NO                                                   HNOH                                                    0.147E+10  0.268E+01   139
 HNOH                                                   H2NO                                                    0.367E+10  0.268E+01  1096
 O1D                                                    O3P                                                     0.728E+11  0.268E+01   140
 O3P                                                    O1D                                                     0.194E+07  0.268E+01  1097
 N2D                                                    N4S                                                     0.549E+08  0.268E+01   141
 N4S                                                    N2D                                                     0.763E+07  0.268E+01  1098
 nb reac fichier :          10           4
 CH         H                                           C          H2                                           0.130E-09  0.268E+01   142
 C          H2                                          CH         H                                            0.297E-11  0.268E+01  1099
 1CH2       H                                           CH         H2                                           0.498E-10  0.268E+01   143
 CH         H2                                          1CH2       H                                            0.105E-11  0.268E+01  1100
 3CH2       H                                           CH         H2                                           0.148E-10  0.268E+01   144
 CH         H2                                          3CH2       H                                            0.555E-11  0.268E+01  1101
 3CH2       C                                           C2H        H                                            0.831E-10  0.268E+01   145
 C2H        H                                           3CH2       C                                            0.925E-17  0.268E+01  1102
 3CH2       3CH2                                        C2H2       H          H                                 0.167E-09  0.268E+01   146
 C2H2       H          H                                3CH2       3CH2                                         0.709E-34  0.268E+01  1103
 CH3        H                                           1CH2       H2                                           0.366E-11  0.268E+01   147
 1CH2       H2                                          CH3        H                                            0.347E-10  0.268E+01  1104
 CH3        CH                                          C2H3       H                                            0.498E-10  0.268E+01   148
 C2H3       H                                           CH3        CH                                           0.699E-14  0.268E+01  1105
 CH3        1CH2                                        C2H4       H                                            0.299E-10  0.268E+01   149
 C2H4       H                                           CH3        1CH2                                         0.784E-15  0.268E+01  1106
 CH3        3CH2                                        C2H4       H                                            0.698E-10  0.268E+01   150
 C2H4       H                                           CH3        3CH2                                         0.326E-13  0.268E+01  1107
 CH3        C                                           C2H2       H                                            0.831E-10  0.268E+01   151
 C2H2       H                                           CH3        C                                            0.542E-18  0.268E+01  1108
 CH3        CH3                                         C2H5       H                                            0.255E-11  0.268E+01   152
 C2H5       H                                           CH3        CH3                                          0.306E-09  0.268E+01  1109
 CH3        CH3                                         C2H4       H2                                           0.497E-11  0.268E+01   153
 C2H4       H2                                          CH3        CH3                                          0.124E-14  0.268E+01  1110
 CH4        H                                           CH3        H2                                           0.441E-10  0.268E+01   154
 CH3        H2                                          CH4        H                                            0.182E-11  0.268E+01  1111
 CH4        CH                                          C2H4       H                                            0.544E-10  0.268E+01   155
 C2H4       H                                           CH4        CH                                           0.280E-14  0.268E+01  1112
 CH4        1CH2                                        CH3        CH3                                          0.698E-10  0.268E+01   156
 CH3        CH3                                         CH4        1CH2                                         0.304E-12  0.268E+01  1113
 C2H        1CH2                                        C2H2       CH                                           0.299E-10  0.268E+01   157
 C2H2       CH                                          C2H        1CH2                                         0.692E-13  0.268E+01  1114
 C2H        3CH2                                        C2H2       CH                                           0.299E-10  0.268E+01   158
 C2H2       CH                                          C2H        3CH2                                         0.123E-11  0.268E+01  1115
 C2H        CH4                                         C2H2       CH3                                          0.199E-11  0.268E+01   159
 C2H2       CH3                                         C2H        CH4                                          0.907E-14  0.268E+01  1116
 C2H2       H                                           C2H        H2                                           0.245E-12  0.268E+01   160
 C2H        H2                                          C2H2       H                                            0.222E-11  0.268E+01  1117
 C2H3       H                                           C2H2       H2                                           0.199E-10  0.268E+01   161
 C2H2       H2                                          C2H3       H                                            0.212E-16  0.268E+01  1118
 C2H3       1CH2                                        C2H2       CH3                                          0.299E-10  0.268E+01   162
 C2H2       CH3                                         C2H3       1CH2                                         0.336E-17  0.268E+01  1119
 C2H3       3CH2                                        C2H2       CH3                                          0.299E-10  0.268E+01   163
 C2H2       CH3                                         C2H3       3CH2                                         0.599E-16  0.268E+01  1120
 C2H3       CH3                                         CH4        C2H2                                         0.648E-12  0.268E+01   164
 CH4        C2H2                                        C2H3       CH3                                          0.167E-16  0.268E+01  1121
 C2H3       C2H                                         C2H2       C2H2                                         0.159E-11  0.268E+01   165
 C2H2       C2H2                                        C2H3       C2H                                          0.187E-18  0.268E+01  1122
 C2H3       C2H3                                        C2H4       C2H2                                         0.159E-11  0.268E+01   166
 C2H4       C2H2                                        C2H3       C2H3                                         0.151E-16  0.268E+01  1123
 C2H4       H                                           C2H3       H2                                           0.144E-10  0.268E+01   167
 C2H3       H2                                          C2H4       H                                            0.161E-11  0.268E+01  1124
 C2H4       CH3                                         CH4        C2H3                                         0.309E-13  0.268E+01   168
 CH4        C2H3                                        C2H4       CH3                                          0.840E-13  0.268E+01  1125
 C2H5       H                                           C2H4       H2                                           0.299E-11  0.268E+01   169
 C2H4       H2                                          C2H5       H                                            0.618E-17  0.268E+01  1126
 C2H5       H                                           C2H6                                                    0.598E-10  0.268E+01   170
 C2H6                                                   C2H5       H                                            0.224E+07  0.268E+01  1127
 C2H5       1CH2                                        C2H4       CH3                                          0.150E-10  0.268E+01   171
 C2H4       CH3                                         C2H5       1CH2                                         0.326E-17  0.268E+01  1128
 C2H5       3CH2                                        C2H4       CH3                                          0.299E-10  0.268E+01   172
 C2H4       CH3                                         C2H5       3CH2                                         0.116E-15  0.268E+01  1129
 C2H5       CH3                                         C2H4       CH4                                          0.183E-11  0.268E+01   173
 C2H4       CH4                                         C2H5       CH3                                          0.916E-16  0.268E+01  1130
 C2H5       C2H                                         C2H2       C2H4                                         0.299E-11  0.268E+01   174
 C2H2       C2H4                                        C2H5       C2H                                          0.682E-18  0.268E+01  1131
