# wavelength (nm), cross section(cm^2)
1.082000e+02, 9.226000e-18
1.083000e+02, 9.226000e-18
1.084000e+02, 9.226000e-18
1.085000e+02, 9.226000e-18
1.086000e+02, 9.250308e-18
1.087000e+02, 9.274615e-18
1.088000e+02, 9.298923e-18
1.089000e+02, 9.323231e-18
1.090000e+02, 9.347538e-18
1.091000e+02, 9.371846e-18
1.092000e+02, 9.396154e-18
1.093000e+02, 9.420462e-18
1.094000e+02, 9.444769e-18
1.095000e+02, 9.469077e-18
1.096000e+02, 9.493385e-18
1.097000e+02, 9.517692e-18
1.098000e+02, 9.542000e-18
1.099000e+02, 9.566308e-18
1.100000e+02, 9.590615e-18
1.101000e+02, 9.614923e-18
1.102000e+02, 9.639231e-18
1.103000e+02, 9.663538e-18
1.104000e+02, 9.687846e-18
1.105000e+02, 1.014286e-17
1.106000e+02, 1.102857e-17
1.107000e+02, 1.191429e-17
1.108000e+02, 1.280000e-17
1.109000e+02, 1.240000e-17
1.110000e+02, 1.200000e-17
1.111000e+02, 1.160000e-17
1.112000e+02, 1.120000e-17
1.113000e+02, 1.196667e-17
1.114000e+02, 1.273333e-17
1.115000e+02, 1.350000e-17
1.116000e+02, 1.307778e-17
1.117000e+02, 1.265556e-17
1.118000e+02, 1.223333e-17
1.119000e+02, 1.181111e-17
1.120000e+02, 1.206000e-17
1.121000e+02, 1.298000e-17
1.122000e+02, 1.390000e-17
1.123000e+02, 1.332308e-17
1.124000e+02, 1.274615e-17
1.125000e+02, 1.240000e-17
1.126000e+02, 1.240000e-17
1.127000e+02, 1.240000e-17
1.128000e+02, 1.233077e-17
1.129000e+02, 1.225385e-17
1.130000e+02, 1.217692e-17
1.131000e+02, 1.210000e-17
1.132000e+02, 1.202308e-17
1.133000e+02, 1.169038e-17
1.134000e+02, 1.124808e-17
1.135000e+02, 1.080577e-17
1.136000e+02, 1.036346e-17
1.137000e+02, 9.921154e-18
1.138000e+02, 9.609524e-18
1.139000e+02, 9.428571e-18
1.140000e+02, 9.247619e-18
1.141000e+02, 9.066667e-18
1.142000e+02, 8.885714e-18
1.143000e+02, 8.704762e-18
1.144000e+02, 8.523810e-18
1.145000e+02, 8.342857e-18
1.146000e+02, 8.161905e-18
1.147000e+02, 7.980952e-18
1.148000e+02, 7.800000e-18
1.149000e+02, 7.215094e-18
1.150000e+02, 6.630189e-18
1.151000e+02, 6.045283e-18
1.152000e+02, 5.460377e-18
1.153000e+02, 4.875472e-18
1.154000e+02, 4.869697e-18
1.155000e+02, 5.112121e-18
1.156000e+02, 5.354545e-18
1.157000e+02, 5.500000e-18
1.158000e+02, 5.500000e-18
1.159000e+02, 5.500000e-18
1.160000e+02, 5.500000e-18
1.161000e+02, 5.500000e-18
1.162000e+02, 5.500000e-18
1.163000e+02, 6.113636e-18
1.164000e+02, 6.727273e-18
1.165000e+02, 7.340909e-18
1.166000e+02, 7.954545e-18
1.167000e+02, 8.200000e-18
