(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
7.385E+06  1574.0  1.38E+08  6.46E-05  4.00E-04  4.04E-04  6.64E-08  8.38E-01  1.62E-01  8.03E-10  6.27E-05  1.09E-05  6.12E-07
6.685E+06  1574.0  1.41E+08  5.65E-05  4.08E-04  3.96E-04  6.64E-08  8.38E-01  1.62E-01  7.50E-10  6.28E-05  1.06E-05  6.34E-07
6.047E+06  1573.0  1.43E+08  4.95E-05  4.15E-04  3.89E-04  6.65E-08  8.38E-01  1.62E-01  6.88E-10  6.29E-05  1.03E-05  6.52E-07
5.474E+06  1573.0  1.46E+08  4.34E-05  4.21E-04  3.83E-04  6.64E-08  8.38E-01  1.62E-01  6.44E-10  6.30E-05  1.01E-05  6.78E-07
4.951E+06  1571.0  1.49E+08  3.82E-05  4.26E-04  3.78E-04  6.65E-08  8.37E-01  1.62E-01  5.87E-10  6.31E-05  9.90E-06  6.97E-07
4.481E+06  1569.0  1.51E+08  3.38E-05  4.30E-04  3.74E-04  6.66E-08  8.38E-01  1.62E-01  5.41E-10  6.32E-05  9.74E-06  7.18E-07
4.055E+06  1566.0  1.54E+08  3.02E-05  4.34E-04  3.70E-04  6.68E-08  8.37E-01  1.62E-01  4.96E-10  6.32E-05  9.61E-06  7.38E-07
3.667E+06  1562.0  1.56E+08  2.72E-05  4.37E-04  3.67E-04  6.71E-08  8.38E-01  1.62E-01  4.56E-10  6.33E-05  9.49E-06  7.57E-07
3.316E+06  1557.0  1.59E+08  2.48E-05  4.39E-04  3.65E-04  6.75E-08  8.38E-01  1.62E-01  4.18E-10  6.33E-05  9.40E-06  7.76E-07
3.001E+06  1552.0  1.61E+08  2.28E-05  4.41E-04  3.63E-04  6.80E-08  8.38E-01  1.62E-01  3.91E-10  6.34E-05  9.31E-06  8.00E-07
2.716E+06  1547.0  1.64E+08  2.12E-05  4.43E-04  3.61E-04  6.84E-08  8.38E-01  1.62E-01  3.73E-10  6.34E-05  9.25E-06  8.27E-07
2.457E+06  1540.0  1.67E+08  1.99E-05  4.44E-04  3.60E-04  6.91E-08  8.38E-01  1.62E-01  3.48E-10  6.34E-05  9.19E-06  8.50E-07
2.222E+06  1533.0  1.69E+08  1.89E-05  4.45E-04  3.59E-04  6.98E-08  8.38E-01  1.62E-01  3.32E-10  6.34E-05  9.13E-06  8.76E-07
2.011E+06  1526.0  1.72E+08  1.81E-05  4.46E-04  3.58E-04  7.05E-08  8.38E-01  1.62E-01  3.20E-10  6.34E-05  9.08E-06  9.02E-07
1.819E+06  1518.0  1.74E+08  1.74E-05  4.47E-04  3.57E-04  7.14E-08  8.38E-01  1.62E-01  3.08E-10  6.34E-05  9.04E-06  9.28E-07
1.646E+06  1510.0  1.77E+08  1.69E-05  4.47E-04  3.57E-04  7.23E-08  8.38E-01  1.62E-01  2.99E-10  6.34E-05  9.00E-06  9.54E-07
1.489E+06  1502.0  1.79E+08  1.65E-05  4.48E-04  3.56E-04  7.32E-08  8.38E-01  1.62E-01  2.94E-10  6.34E-05  8.97E-06  9.78E-07
1.347E+06  1494.0  1.82E+08  1.62E-05  4.48E-04  3.56E-04  7.41E-08  8.38E-01  1.62E-01  2.90E-10  6.34E-05  8.94E-06  1.00E-06
1.219E+06  1486.0  1.84E+08  1.59E-05  4.48E-04  3.56E-04  7.51E-08  8.38E-01  1.62E-01  2.89E-10  6.34E-05  8.91E-06  1.02E-06
1.102E+06  1477.0  1.87E+08  1.57E-05  4.48E-04  3.56E-04  7.62E-08  8.38E-01  1.62E-01  2.83E-10  6.34E-05  8.89E-06  1.04E-06
9.972E+05  1469.0  1.89E+08  1.56E-05  4.48E-04  3.56E-04  7.73E-08  8.38E-01  1.62E-01  2.83E-10  6.34E-05  8.87E-06  1.06E-06
