(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
9.078E+00   879.7  3.95E+08  1.01E-10  4.65E-04  3.40E-04  4.84E-07  8.37E-01  1.62E-01  3.47E-20  6.86E-05  8.28E-11  2.19E-13
7.337E+00   874.6  3.99E+08  7.85E-11  4.65E-04  3.40E-04  4.98E-07  8.37E-01  1.62E-01  2.35E-20  6.86E-05  6.99E-11  1.78E-13
5.931E+00   870.2  4.02E+08  5.99E-11  4.65E-04  3.39E-04  5.10E-07  8.37E-01  1.62E-01  1.59E-20  6.86E-05  5.87E-11  1.44E-13
4.794E+00   866.8  4.05E+08  4.42E-11  4.65E-04  3.39E-04  5.20E-07  8.37E-01  1.62E-01  1.06E-20  6.86E-05  4.88E-11  1.17E-13
3.875E+00   864.2  4.08E+08  3.17E-11  4.65E-04  3.39E-04  5.28E-07  8.37E-01  1.62E-01  7.08E-21  6.86E-05  4.04E-11  9.45E-14
3.132E+00   862.3  4.11E+08  2.22E-11  4.65E-04  3.39E-04  5.34E-07  8.37E-01  1.62E-01  4.69E-21  6.86E-05  3.32E-11  7.65E-14
2.531E+00   861.1  4.14E+08  1.51E-11  4.64E-04  3.39E-04  5.38E-07  8.37E-01  1.62E-01  3.09E-21  6.86E-05  2.71E-11  6.19E-14
2.046E+00   860.5  4.17E+08  1.01E-11  4.64E-04  3.39E-04  5.40E-07  8.37E-01  1.62E-01  2.03E-21  6.86E-05  2.20E-11  5.00E-14
1.654E+00   860.6  4.20E+08  6.57E-12  4.64E-04  3.39E-04  5.39E-07  8.37E-01  1.62E-01  1.32E-21  6.86E-05  1.78E-11  4.04E-14
1.337E+00   861.4  4.23E+08  4.17E-12  4.64E-04  3.39E-04  5.37E-07  8.37E-01  1.62E-01  8.60E-22  6.86E-05  1.43E-11  3.27E-14
1.080E+00   862.7  4.26E+08  2.60E-12  4.65E-04  3.39E-04  5.33E-07  8.37E-01  1.62E-01  5.56E-22  6.86E-05  1.14E-11  2.64E-14
8.733E-01   864.6  4.29E+08  1.59E-12  4.65E-04  3.39E-04  5.27E-07  8.37E-01  1.62E-01  3.58E-22  6.86E-05  9.07E-12  2.13E-14
7.059E-01   867.3  4.32E+08  9.41E-13  4.65E-04  3.39E-04  5.19E-07  8.37E-01  1.62E-01  2.30E-22  6.86E-05  7.16E-12  1.72E-14
5.706E-01   870.4  4.36E+08  5.50E-13  4.65E-04  3.39E-04  5.10E-07  8.37E-01  1.62E-01  1.47E-22  6.86E-05  5.63E-12  1.39E-14
4.612E-01   874.2  4.39E+08  3.14E-13  4.65E-04  3.40E-04  4.99E-07  8.37E-01  1.62E-01  9.32E-23  6.86E-05  4.41E-12  1.12E-14
3.728E-01   879.9  4.42E+08  1.68E-13  4.65E-04  3.40E-04  4.83E-07  8.37E-01  1.62E-01  5.85E-23  6.86E-05  3.39E-12  9.00E-15
3.013E-01   886.8  4.45E+08  8.67E-14  4.65E-04  3.40E-04  4.65E-07  8.37E-01  1.62E-01  3.64E-23  6.86E-05  2.59E-12  7.24E-15
2.435E-01   894.8  4.49E+08  4.32E-14  4.65E-04  3.40E-04  4.45E-07  8.37E-01  1.62E-01  2.25E-23  6.86E-05  1.96E-12  5.82E-15
1.968E-01   906.5  4.52E+08  1.91E-14  4.65E-04  3.40E-04  4.18E-07  8.37E-01  1.62E-01  1.36E-23  6.86E-05  1.44E-12  4.67E-15
1.591E-01   922.2  4.56E+08  7.53E-15  4.65E-04  3.40E-04  3.86E-07  8.37E-01  1.62E-01  7.98E-24  6.86E-05  1.03E-12  3.74E-15
1.286E-01   941.6  4.59E+08  2.69E-15  4.65E-04  3.40E-04  3.51E-07  8.37E-01  1.62E-01  4.60E-24  6.86E-05  7.18E-13  2.99E-15
1.039E-01   965.5  4.63E+08  8.65E-16  4.65E-04  3.40E-04  3.14E-07  8.37E-01  1.62E-01  2.60E-24  6.86E-05  4.88E-13  2.38E-15
8.402E-02  1003.8  4.67E+08  1.94E-16  4.65E-04  3.40E-04  2.66E-07  8.37E-01  1.62E-01  1.36E-24  6.86E-05  3.04E-13  1.88E-15
6.791E-02  1054.7  4.71E+08  3.45E-17  4.65E-04  3.40E-04  2.18E-07  8.37E-01  1.62E-01  6.77E-25  6.86E-05  1.78E-13  1.48E-15
5.489E-02  1121.4  4.75E+08  4.88E-18  4.65E-04  3.40E-04  1.73E-07  8.37E-01  1.62E-01  3.21E-25  6.86E-05  9.89E-14  1.16E-15
4.437E-02  1216.7  4.80E+08  4.77E-19  4.65E-04  3.40E-04  1.31E-07  8.36E-01  1.62E-01  1.40E-25  6.85E-05  4.99E-14  8.97E-16
3.586E-02  1389.0  4.85E+08  1.83E-20  4.60E-04  3.36E-04  8.89E-08  8.19E-01  1.61E-01  4.80E-26  6.79E-05  1.96E-14  6.57E-16
2.899E-02  1689.7  4.91E+08  4.51E-23  3.51E-04  2.26E-04  6.06E-08  3.88E-01  1.23E-01  2.08E-27  5.18E-05  1.89E-15  1.59E-16
2.343E-02  2339.5  4.99E+08  7.56E-29  2.53E-04  3.73E-11  1.19E-11  1.38E-04  8.84E-02  4.92E-25  3.61E-05  2.88E-21  2.96E-15
1.894E-02  3484.2  5.11E+08  4.32E-36  2.03E-06  4.63E-18  2.36E-17  4.84E-08  8.84E-02  3.23E-26  2.50E-09  5.21E-29  8.61E-18
1.531E-02  4734.2  5.33E+08  3.75E-43  7.22E-11  4.29E-22  5.68E-24  5.74E-10  8.84E-02  4.49E-33  2.91E-13  3.85E-34  4.06E-23
1.237E-02  5744.6  5.65E+08  9.50E-47  4.10E-13  3.57E-24  2.55E-27  5.82E-11  8.84E-02  1.43E-36  2.94E-15  8.40E-37  7.83E-26
1.000E-02  6000.0  6.06E+08  9.41E-48  1.23E-13  9.78E-25  3.90E-28  3.11E-11  8.84E-02  1.72E-37  9.88E-16  1.49E-37  1.60E-26
