(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
8.837E+02  1026.2  3.22E+08  1.01E-05  4.52E-04  3.53E-04  2.45E-07  8.37E-01  1.62E-01  3.10E-09  6.19E-05  1.03E-05  2.89E-06
7.456E+02  1024.1  3.25E+08  9.79E-06  4.52E-04  3.53E-04  2.47E-07  8.37E-01  1.62E-01  3.38E-09  6.20E-05  9.91E-06  3.22E-06
6.290E+02  1022.2  3.28E+08  9.41E-06  4.51E-04  3.53E-04  2.49E-07  8.37E-01  1.62E-01  3.66E-09  6.20E-05  9.52E-06  3.59E-06
5.307E+02  1020.0  3.31E+08  8.98E-06  4.51E-04  3.53E-04  2.51E-07  8.37E-01  1.62E-01  3.95E-09  6.20E-05  9.08E-06  4.01E-06
4.477E+02  1018.1  3.33E+08  8.50E-06  4.51E-04  3.53E-04  2.53E-07  8.37E-01  1.62E-01  4.23E-09  6.20E-05  8.58E-06  4.49E-06
3.777E+02  1014.9  3.36E+08  7.95E-06  4.51E-04  3.53E-04  2.56E-07  8.37E-01  1.62E-01  4.51E-09  6.20E-05  8.02E-06  5.03E-06
3.187E+02  1012.1  3.39E+08  7.35E-06  4.51E-04  3.53E-04  2.60E-07  8.37E-01  1.62E-01  4.79E-09  6.20E-05  7.39E-06  5.62E-06
2.689E+02  1007.1  3.42E+08  6.69E-06  4.51E-04  3.53E-04  2.64E-07  8.37E-01  1.62E-01  5.07E-09  6.20E-05  6.71E-06  6.27E-06
2.268E+02  1002.9  3.45E+08  5.99E-06  4.51E-04  3.53E-04  2.68E-07  8.36E-01  1.62E-01  5.38E-09  6.20E-05  5.97E-06  6.97E-06
1.914E+02   997.1  3.48E+08  5.26E-06  4.51E-04  3.53E-04  2.73E-07  8.36E-01  1.62E-01  5.73E-09  6.20E-05  5.20E-06  7.70E-06
1.615E+02   992.0  3.50E+08  4.52E-06  4.51E-04  3.53E-04  2.79E-07  8.36E-01  1.62E-01  6.14E-09  6.21E-05  4.41E-06  8.44E-06
1.362E+02   986.0  3.53E+08  3.79E-06  4.51E-04  3.53E-04  2.85E-07  8.36E-01  1.62E-01  6.65E-09  6.21E-05  3.64E-06  9.16E-06
1.149E+02   980.7  3.56E+08  3.11E-06  4.51E-04  3.53E-04  2.91E-07  8.36E-01  1.62E-01  7.25E-09  6.21E-05  2.90E-06  9.83E-06
9.696E+01   973.9  3.59E+08  2.50E-06  4.51E-04  3.53E-04  2.98E-07  8.36E-01  1.62E-01  7.98E-09  6.21E-05  2.23E-06  1.04E-05
8.180E+01   967.8  3.61E+08  1.97E-06  4.51E-04  3.52E-04  3.06E-07  8.36E-01  1.62E-01  8.85E-09  6.21E-05  1.65E-06  1.10E-05
6.901E+01   960.2  3.64E+08  1.54E-06  4.51E-04  3.52E-04  3.14E-07  8.36E-01  1.62E-01  9.88E-09  6.21E-05  1.17E-06  1.14E-05
5.822E+01   953.5  3.67E+08  1.20E-06  4.51E-04  3.52E-04  3.22E-07  8.36E-01  1.62E-01  1.11E-08  6.21E-05  7.97E-07  1.17E-05
4.912E+01   945.4  3.69E+08  9.42E-07  4.51E-04  3.52E-04  3.31E-07  8.35E-01  1.62E-01  1.25E-08  6.21E-05  5.17E-07  1.20E-05
4.144E+01   938.1  3.72E+08  7.49E-07  4.51E-04  3.52E-04  3.41E-07  8.35E-01  1.62E-01  1.41E-08  6.21E-05  3.19E-07  1.22E-05
3.496E+01   930.1  3.75E+08  6.08E-07  4.51E-04  3.52E-04  3.50E-07  8.35E-01  1.62E-01  1.60E-08  6.21E-05  1.88E-07  1.23E-05
2.950E+01   922.9  3.77E+08  5.05E-07  4.51E-04  3.52E-04  3.60E-07  8.35E-01  1.62E-01  1.82E-08  6.21E-05  1.06E-07  1.24E-05
2.489E+01   915.4  3.80E+08  4.29E-07  4.51E-04  3.52E-04  3.69E-07  8.34E-01  1.62E-01  2.07E-08  6.21E-05  5.69E-08  1.24E-05
2.100E+01   908.7  3.83E+08  3.71E-07  4.51E-04  3.52E-04  3.78E-07  8.34E-01  1.62E-01  2.36E-08  6.21E-05  2.94E-08  1.25E-05
1.771E+01   901.7  3.85E+08  3.26E-07  4.51E-04  3.52E-04  3.87E-07  8.33E-01  1.62E-01  2.70E-08  6.21E-05  1.46E-08  1.25E-05
1.495E+01   895.5  3.88E+08  2.88E-07  4.50E-04  3.52E-04  3.94E-07  8.33E-01  1.62E-01  3.08E-08  6.21E-05  7.00E-09  1.25E-05
1.261E+01   889.5  3.90E+08  2.55E-07  4.50E-04  3.51E-04  4.02E-07  8.32E-01  1.62E-01  3.50E-08  6.21E-05  3.24E-09  1.25E-05
1.064E+01   884.2  3.93E+08  2.25E-07  4.50E-04  3.51E-04  4.08E-07  8.31E-01  1.62E-01  3.97E-08  6.20E-05  1.46E-09  1.25E-05
8.975E+00   879.4  3.95E+08  1.96E-07  4.50E-04  3.51E-04  4.15E-07  8.30E-01  1.62E-01  4.48E-08  6.20E-05  6.41E-10  1.24E-05
7.572E+00   875.3  3.98E+08  1.66E-07  4.50E-04  3.51E-04  4.22E-07  8.29E-01  1.62E-01  5.01E-08  6.20E-05  2.79E-10  1.24E-05
6.388E+00   871.6  4.00E+08  1.35E-07  4.49E-04  3.50E-04  4.29E-07  8.28E-01  1.61E-01  5.54E-08  6.20E-05  1.21E-10  1.23E-05
5.389E+00   868.6  4.02E+08  1.04E-07  4.49E-04  3.50E-04  4.39E-07  8.26E-01  1.61E-01  6.05E-08  6.19E-05  5.44E-11  1.23E-05
4.547E+00   866.1  4.05E+08  7.37E-08  4.48E-04  3.49E-04  4.53E-07  8.24E-01  1.61E-01  6.48E-08  6.19E-05  2.69E-11  1.22E-05
3.836E+00   864.1  4.07E+08  4.78E-08  4.48E-04  3.49E-04  4.71E-07  8.21E-01  1.61E-01  6.79E-08  6.18E-05  1.53E-11  1.21E-05
3.236E+00   862.5  4.10E+08  2.80E-08  4.47E-04  3.48E-04  4.95E-07  8.18E-01  1.61E-01  6.98E-08  6.17E-05  9.95E-12  1.20E-05
2.730E+00   861.5  4.12E+08  1.51E-08  4.46E-04  3.47E-04  5.26E-07  8.14E-01  1.60E-01  7.06E-08  6.16E-05  7.05E-12  1.18E-05
2.304E+00   860.7  4.15E+08  7.62E-09  4.45E-04  3.46E-04  5.65E-07  8.09E-01  1.60E-01  7.05E-08  6.15E-05  5.24E-12  1.16E-05
1.944E+00   860.5  4.17E+08  3.79E-09  4.43E-04  3.44E-04  6.09E-07  8.03E-01  1.59E-01  6.98E-08  6.14E-05  4.03E-12  1.13E-05
1.640E+00   860.6  4.20E+08  1.97E-09  4.42E-04  3.43E-04  6.55E-07  7.97E-01  1.59E-01  6.86E-08  6.13E-05  3.21E-12  1.09E-05
1.383E+00   861.3  4.22E+08  1.09E-09  4.40E-04  3.41E-04  7.01E-07  7.90E-01  1.58E-01  6.72E-08  6.11E-05  2.64E-12  1.06E-05
