(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
2.965E+05  1343.5  3.35E+08  5.21E-06  4.47E-04  3.61E-04  9.98E-08  8.37E-01  1.62E-01  2.34E-11  6.77E-05  1.10E-06  3.21E-08
2.608E+05  1328.1  3.38E+08  5.21E-06  4.47E-04  3.61E-04  1.03E-07  8.37E-01  1.62E-01  1.98E-11  6.77E-05  1.10E-06  3.21E-08
2.298E+05  1313.0  3.41E+08  5.21E-06  4.47E-04  3.61E-04  1.07E-07  8.37E-01  1.62E-01  1.68E-11  6.77E-05  1.10E-06  3.21E-08
2.014E+05  1297.6  3.43E+08  5.20E-06  4.47E-04  3.61E-04  1.10E-07  8.37E-01  1.62E-01  1.38E-11  6.77E-05  1.10E-06  3.22E-08
1.762E+05  1281.4  3.46E+08  5.20E-06  4.47E-04  3.61E-04  1.14E-07  8.37E-01  1.62E-01  1.15E-11  6.77E-05  1.10E-06  3.23E-08
1.544E+05  1265.4  3.49E+08  5.20E-06  4.47E-04  3.61E-04  1.19E-07  8.37E-01  1.62E-01  9.55E-12  6.77E-05  1.10E-06  3.24E-08
1.344E+05  1248.8  3.52E+08  5.20E-06  4.47E-04  3.61E-04  1.24E-07  8.37E-01  1.62E-01  7.53E-12  6.77E-05  1.10E-06  3.25E-08
1.167E+05  1232.3  3.54E+08  5.20E-06  4.47E-04  3.61E-04  1.29E-07  8.37E-01  1.62E-01  6.08E-12  6.77E-05  1.10E-06  3.27E-08
1.014E+05  1216.2  3.57E+08  5.20E-06  4.47E-04  3.61E-04  1.34E-07  8.37E-01  1.62E-01  4.85E-12  6.77E-05  1.10E-06  3.28E-08
8.773E+04  1200.7  3.60E+08  5.20E-06  4.47E-04  3.61E-04  1.40E-07  8.37E-01  1.62E-01  3.87E-12  6.77E-05  1.10E-06  3.30E-08
7.582E+04  1186.0  3.62E+08  5.20E-06  4.47E-04  3.61E-04  1.46E-07  8.37E-01  1.62E-01  3.19E-12  6.77E-05  1.10E-06  3.32E-08
6.563E+04  1171.5  3.65E+08  5.20E-06  4.47E-04  3.61E-04  1.51E-07  8.37E-01  1.62E-01  2.79E-12  6.77E-05  1.10E-06  3.34E-08
5.696E+04  1158.5  3.67E+08  5.20E-06  4.47E-04  3.61E-04  1.56E-07  8.37E-01  1.62E-01  2.56E-12  6.77E-05  1.10E-06  3.36E-08
4.928E+04  1146.8  3.70E+08  5.20E-06  4.47E-04  3.61E-04  1.61E-07  8.37E-01  1.62E-01  2.50E-12  6.77E-05  1.10E-06  3.39E-08
4.283E+04  1136.7  3.72E+08  5.20E-06  4.47E-04  3.61E-04  1.65E-07  8.37E-01  1.62E-01  2.70E-12  6.77E-05  1.10E-06  3.42E-08
3.723E+04  1128.4  3.75E+08  5.20E-06  4.47E-04  3.61E-04  1.70E-07  8.37E-01  1.62E-01  3.15E-12  6.77E-05  1.10E-06  3.45E-08
3.266E+04  1121.5  3.77E+08  5.20E-06  4.47E-04  3.61E-04  1.73E-07  8.37E-01  1.62E-01  3.94E-12  6.77E-05  1.10E-06  3.48E-08
2.865E+04  1115.4  3.80E+08  5.20E-06  4.47E-04  3.61E-04  1.77E-07  8.37E-01  1.62E-01  5.10E-12  6.77E-05  1.10E-06  3.52E-08
2.509E+04  1109.3  3.82E+08  5.20E-06  4.47E-04  3.61E-04  1.81E-07  8.37E-01  1.62E-01  6.70E-12  6.77E-05  1.10E-06  3.56E-08
2.189E+04  1102.6  3.84E+08  5.20E-06  4.47E-04  3.61E-04  1.84E-07  8.37E-01  1.62E-01  8.77E-12  6.77E-05  1.10E-06  3.61E-08
1.910E+04  1096.5  3.87E+08  5.20E-06  4.47E-04  3.61E-04  1.88E-07  8.37E-01  1.62E-01  1.14E-11  6.77E-05  1.10E-06  3.66E-08
1.663E+04  1089.6  3.89E+08  5.20E-06  4.47E-04  3.61E-04  1.91E-07  8.37E-01  1.62E-01  1.46E-11  6.77E-05  1.10E-06  3.72E-08
1.448E+04  1082.7  3.92E+08  5.20E-06  4.47E-04  3.61E-04  1.95E-07  8.37E-01  1.62E-01  1.84E-11  6.77E-05  1.10E-06  3.78E-08
1.260E+04  1076.1  3.94E+08  5.20E-06  4.47E-04  3.61E-04  1.99E-07  8.37E-01  1.62E-01  2.28E-11  6.77E-05  1.10E-06  3.85E-08
1.101E+04  1070.1  3.96E+08  5.20E-06  4.47E-04  3.61E-04  2.02E-07  8.37E-01  1.62E-01  2.77E-11  6.77E-05  1.10E-06  3.93E-08
9.614E+03  1064.6  3.98E+08  5.20E-06  4.47E-04  3.61E-04  2.06E-07  8.37E-01  1.62E-01  3.32E-11  6.77E-05  1.10E-06  4.01E-08
8.405E+03  1059.9  4.01E+08  5.19E-06  4.47E-04  3.61E-04  2.09E-07  8.37E-01  1.62E-01  3.94E-11  6.77E-05  1.09E-06  4.10E-08
7.356E+03  1055.7  4.03E+08  5.19E-06  4.47E-04  3.61E-04  2.13E-07  8.37E-01  1.62E-01  4.65E-11  6.77E-05  1.09E-06  4.20E-08
6.438E+03  1052.1  4.05E+08  5.19E-06  4.47E-04  3.61E-04  2.16E-07  8.37E-01  1.62E-01  5.46E-11  6.77E-05  1.09E-06  4.32E-08
5.650E+03  1049.1  4.08E+08  5.19E-06  4.47E-04  3.61E-04  2.19E-07  8.37E-01  1.62E-01  6.42E-11  6.77E-05  1.09E-06  4.44E-08
4.973E+03  1046.5  4.10E+08  5.19E-06  4.47E-04  3.61E-04  2.21E-07  8.37E-01  1.62E-01  7.55E-11  6.77E-05  1.09E-06  4.58E-08
4.377E+03  1044.4  4.12E+08  5.19E-06  4.47E-04  3.61E-04  2.24E-07  8.37E-01  1.62E-01  8.90E-11  6.77E-05  1.09E-06  4.74E-08
3.862E+03  1042.8  4.15E+08  5.19E-06  4.47E-04  3.61E-04  2.27E-07  8.37E-01  1.62E-01  1.05E-10  6.77E-05  1.09E-06  4.92E-08
3.428E+03  1041.4  4.17E+08  5.18E-06  4.47E-04  3.61E-04  2.29E-07  8.37E-01  1.62E-01  1.25E-10  6.77E-05  1.08E-06  5.11E-08
3.043E+03  1040.2  4.19E+08  5.18E-06  4.47E-04  3.61E-04  2.31E-07  8.37E-01  1.62E-01  1.48E-10  6.77E-05  1.08E-06  5.31E-08
2.701E+03  1039.1  4.22E+08  5.18E-06  4.47E-04  3.61E-04  2.32E-07  8.37E-01  1.62E-01  1.76E-10  6.77E-05  1.08E-06  5.54E-08
2.398E+03  1038.0  4.24E+08  5.18E-06  4.47E-04  3.61E-04  2.34E-07  8.37E-01  1.62E-01  2.10E-10  6.77E-05  1.08E-06  5.78E-08
2.128E+03  1036.6  4.26E+08  5.17E-06  4.47E-04  3.61E-04  2.35E-07  8.37E-01  1.62E-01  2.51E-10  6.77E-05  1.07E-06  6.04E-08
1.887E+03  1035.2  4.28E+08  5.17E-06  4.47E-04  3.61E-04  2.37E-07  8.37E-01  1.62E-01  3.02E-10  6.77E-05  1.07E-06  6.34E-08
1.670E+03  1033.8  4.31E+08  5.17E-06  4.47E-04  3.61E-04  2.38E-07  8.37E-01  1.62E-01  3.64E-10  6.77E-05  1.07E-06  6.65E-08
1.478E+03  1032.3  4.33E+08  5.16E-06  4.47E-04  3.61E-04  2.40E-07  8.37E-01  1.62E-01  4.41E-10  6.77E-05  1.06E-06  7.00E-08
1.309E+03  1030.9  4.35E+08  5.16E-06  4.47E-04  3.61E-04  2.41E-07  8.37E-01  1.62E-01  5.36E-10  6.77E-05  1.06E-06  7.39E-08
1.159E+03  1029.4  4.38E+08  5.15E-06  4.47E-04  3.61E-04  2.43E-07  8.37E-01  1.62E-01  6.54E-10  6.77E-05  1.06E-06  7.82E-08
1.026E+03  1027.9  4.40E+08  5.15E-06  4.47E-04  3.61E-04  2.44E-07  8.37E-01  1.62E-01  8.01E-10  6.77E-05  1.05E-06  8.29E-08
8.821E+02  1026.2  4.42E+08  5.14E-06  4.47E-04  3.61E-04  2.46E-07  8.37E-01  1.62E-01  9.85E-10  6.77E-05  1.05E-06  8.81E-08
7.742E+02  1024.5  4.44E+08  5.13E-06  4.47E-04  3.61E-04  2.48E-07  8.37E-01  1.62E-01  1.22E-09  6.77E-05  1.04E-06  9.41E-08
6.818E+02  1023.0  4.47E+08  5.13E-06  4.47E-04  3.61E-04  2.50E-07  8.37E-01  1.62E-01  1.52E-09  6.77E-05  1.03E-06  1.01E-07
6.004E+02  1021.5  4.49E+08  5.12E-06  4.47E-04  3.61E-04  2.52E-07  8.37E-01  1.62E-01  1.89E-09  6.77E-05  1.03E-06  1.08E-07
5.282E+02  1019.9  4.51E+08  5.11E-06  4.47E-04  3.61E-04  2.54E-07  8.37E-01  1.62E-01  2.35E-09  6.77E-05  1.02E-06  1.16E-07
4.655E+02  1018.5  4.54E+08  5.10E-06  4.47E-04  3.61E-04  2.56E-07  8.37E-01  1.62E-01  2.89E-09  6.77E-05  1.01E-06  1.25E-07
4.103E+02  1016.4  4.56E+08  5.08E-06  4.47E-04  3.61E-04  2.58E-07  8.37E-01  1.62E-01  3.54E-09  6.77E-05  9.97E-07  1.35E-07
3.616E+02  1014.1  4.58E+08  5.07E-06  4.47E-04  3.61E-04  2.60E-07  8.37E-01  1.62E-01  4.34E-09  6.77E-05  9.86E-07  1.46E-07
3.155E+02  1011.7  4.60E+08  5.05E-06  4.47E-04  3.61E-04  2.63E-07  8.37E-01  1.62E-01  5.31E-09  6.77E-05  9.73E-07  1.58E-07
2.735E+02  1007.6  4.62E+08  5.04E-06  4.47E-04  3.61E-04  2.66E-07  8.37E-01  1.62E-01  6.47E-09  6.77E-05  9.59E-07  1.72E-07
2.371E+02  1004.0  4.65E+08  5.01E-06  4.47E-04  3.61E-04  2.68E-07  8.37E-01  1.62E-01  7.88E-09  6.77E-05  9.42E-07  1.88E-07
2.035E+02   999.1  4.67E+08  4.99E-06  4.47E-04  3.61E-04  2.72E-07  8.37E-01  1.62E-01  9.58E-09  6.77E-05  9.24E-07  2.06E-07
