# WL(nm)	 Flux(ergs/cm**2/s/nm)
116.4832    	7.79E+04
116.4856    	2.05E+04
116.4868    	3.30E+05
116.488     	8.85E+04
116.4928    	6.74E+04
116.494     	1.24E+05
116.4952    	2.97E+05
116.4964    	1.05E+05
116.4976    	1.24E+05
116.4988    	2.52E+05
116.5       	1.38E+05
116.5084    	4.04E+04
116.5096    	1.20E+05
116.5108    	5.53E+04
116.512     	1.58E+05
116.5144    	1.27E+05
116.518     	4.44E+04
116.5192    	1.06E+05
116.524     	3.37E+05
116.5252    	1.39E+05
116.5312    	1.18E+05
116.5324    	6.50E+04
116.5408    	1.56E+05
116.542     	4.41E+04
116.5432    	1.78E+05
116.5444    	3.67E+05
116.5456    	1.54E+05
116.5528    	1.55E+05
116.5552    	2.58E+05
116.5576    	2.05E+04
116.5612    	3.12E+04
116.5624    	5.83E+04
116.5648    	5.55E+04
116.566     	5.74E+04
116.5684    	8.66E+04
116.5696    	1.26E+03
116.5744    	2.91E+05
116.5756    	3.71E+05
116.5816    	1.95E+04
116.5828    	2.67E+05
116.5852    	3.41E+05
116.5864    	1.59E+05
116.5876    	4.19E+04
116.59      	1.35E+05
116.5924    	8.00E+04
116.5936    	1.26E+05
116.5948    	3.07E+05
116.596     	8.87E+04
116.5972    	6.08E+04
116.5984    	2.75E+05
116.602     	1.31E+05
116.6032    	1.21E+04
116.6056    	1.99E+05
116.6068    	3.68E+04
116.6128    	2.73E+04
116.6164    	3.17E+05
116.6176    	1.44E+05
116.6248    	3.10E+05
116.6308    	3.30E+05
116.6404    	3.29E+05
116.6416    	1.16E+05
116.6428    	1.83E+05
116.644     	1.65E+05
116.6488    	1.22E+03
116.6572    	1.10E+05
116.6584    	3.46E+05
116.6596    	2.81E+05
116.6644    	4.83E+04
116.668     	1.86E+05
116.6704    	1.06E+05
116.6764    	6.25E+05
116.68      	7.50E+04
116.6812    	1.08E+05
116.6824    	9.24E+04
116.6848    	7.59E+04
116.686     	1.46E+04
116.6896    	7.92E+04
116.6908    	2.66E+05
116.692     	3.00E+05
116.6932    	5.36E+04
116.6956    	2.12E+05
116.6968    	2.64E+05
116.698     	1.85E+05
116.704     	5.77E+04
116.7052    	2.68E+05
