#grid point	p_iterations	c_iterations	p_convergence   	c_convergence   	P (bar)         	T(k)            	n_<H> (cm-3)    	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    
89        	0         	2         	ok              	ok              	1.2920000000e-07	9.4110000000e+02	1.6658228978e+12	9.9435856101e+11	2.3596554720e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	0         	2         	ok              	ok              	1.0000000000e-07	9.7210000000e+02	1.2482187936e+12	7.4508416537e+11	2.3596531522e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
91        	0         	2         	ok              	ok              	7.7430000000e-08	1.0169000000e+03	9.2391242092e+11	5.5150225034e+11	2.3596430107e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92        	0         	2         	ok              	ok              	5.9950000000e-08	1.0873000000e+03	6.6900031434e+11	3.9935219547e+11	2.3595709045e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93        	0         	2         	ok              	ok              	4.6420000000e-08	1.1981000000e+03	4.6993588365e+11	2.8062628364e+11	2.3587018643e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94        	0         	2         	ok              	ok              	3.5940000000e-08	1.3873000000e+03	3.1128379830e+11	1.8763936884e+11	2.3366590115e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95        	0         	2         	ok              	ok              	2.7830000000e-08	1.7599000000e+03	1.2577247544e+11	1.1453586287e+11	1.5467029132e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	0         	3         	ok              	ok              	2.1540000000e-08	2.7642000000e+03	5.1454129656e+10	5.6440715837e+10	1.2840753532e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	0         	2         	ok              	ok              	1.6680000000e-08	4.2609000000e+03	2.5848611066e+10	2.8353781056e+10	1.2840709391e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	0         	2         	ok              	ok              	1.2920000000e-08	5.5574000000e+03	1.5350883060e+10	1.6838644722e+10	1.2840709362e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
99        	0         	2         	ok              	ok              	1.0000000000e-08	6.0000000000e+03	1.1005030630e+10	1.2071605286e+10	1.2840709351e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
